model,seed,condition,family,budget,selected,val_auroc,test_auroc,test_fpr95,fixed_auroc
sl135,0,length+template+entropy,IsolationForest,96,n50_mf0.7_cauto_k8,0.7018494538422377,0.6205050388145177,0.9089026915113871,0.5810132496602927
sl135,0,length+template+entropy,OneClassSVM,100,nu0.01_g0.01_sigmoid_k8,0.7101485918115626,0.6704731041755075,0.7763975155279503,0.5621268040927777
sl135,0,length+template+entropy,single statistic,38,ent_max_+,0.8569466415653904,0.7941951827990176,0.7142857142857143,0.5288804872925856
sl135,1,length+template,FIS,120,w1_t19_k2_probability,0.7020320948892378,0.6863118328795509,0.8274582560296846,0.6252198636243163
sl135,1,length+template,Mahalanobis,120,empirical_s0.6_k4,0.7066678742502918,0.7114459884139184,0.8589981447124304,0.6418744256009032
sl135,1,length+template,IsolationForest,96,n200_mf0.5_cauto_k8,0.6802117296622792,0.6799095418231385,0.8664192949907236,0.5891794396962698
sl135,1,length+template,OneClassSVM,100,nu0.1_g0.01_rbf_k8,0.7074997651920729,0.7098832786614393,0.8701298701298701,0.6060215956849935
sl135,1,length+template,single statistic,38,ent_max_+,0.8599437802734508,0.8560104088861046,0.6066790352504638,0.7010130076655388
sl135,1,length+template+entropy,FIS,120,w1_t19_k2_probability,0.7020320948892378,0.6389371123370583,0.8716356107660456,0.5891405081251152
sl135,1,length+template+entropy,Mahalanobis,120,empirical_s0.6_k4,0.7066678742502918,0.6537942209019714,0.8964803312629399,0.6049920913545002
sl135,1,length+template+entropy,IsolationForest,96,n200_mf0.5_cauto_k8,0.6802117296622792,0.6056136380197952,0.8778467908902692,0.5402526480031207
sl135,1,length+template+entropy,OneClassSVM,100,nu0.1_g0.01_rbf_k8,0.7074997651920729,0.6092357547934107,0.9130434782608695,0.5655860327747987
sl135,1,length+template+entropy,single statistic,38,ent_max_+,0.8599437802734508,0.7968828363103275,0.722567287784679,0.5354431627723553
sl135,2,length+template,FIS,120,w1_t8_k2_hamacher,0.693805506139703,0.6853784743280098,0.8832391713747646,0.574198204716255
sl135,2,length+template,Mahalanobis,120,mcd_sNone_k4,0.7053046617354848,0.6987207450675801,0.8568738229755178,0.6638896868715886
sl135,2,length+template,IsolationForest,96,n400_mf1.0_cauto_k8,0.6837870922325215,0.6925957845233914,0.8870056497175142,0.6358255219693503
sl135,2,length+template,OneClassSVM,100,nu0.01_g0.01_sigmoid_k8,0.7000405730158235,0.7053209486418334,0.9472693032015066,0.653104507360947
